position,department,sonstiges_anforderungen,status_job,id,klinik,ort,status_klinik,kontaktname,email,telefon,von,bis,gehalt_von,gehalt_bis,job_description,long_note,export_timestamp,export_date
Facharzt,Radiologie,,cold,1001,,,,Herr Dr. Afschani,Tel.,,2025-04-04,2025-10-01,,,,Dr. Magos vorgestellt. Ggf. Standortleitung.,2026-01-25 14:02:07,2026-01-25
Ltd. OA,Neuroradiologie,,hot,1015,,,,Prof. Kramer,Tel.,,2025-10-20,2026-04-18,,,,"Neuaufbau Team und Abteilung in Winnenden
10 Ärzte nachen Thrombektomien und Dienste
Stelle ist Disziplinarisch unter Prof Kramer aber fachlich komplett selbstständig. 
Pensum 80-100%
Gehalt 250 wäre ok
Personalwhg Fußläufig für die ersten 6-9 Monate entspricht Mietspiegel.
Angale muss laufen
haben eine Kooperation mit anderen Kliniken
später +1 OA dann aber Dienste abdecken. 

Muss man Module E + F haben?
Thrombektomien
AVM
Durafisteln
Aneurysmen
Dienste 

Ltd. OA in Schorndorf mit Diensten
1-3-3
Grund und Regelversorger
1.5 T + 2 CT + Angio 

Sehr geehrter Herr Dr. Müller,

Im Auftrag unseres Mandanten im Herzen von Baden-Württemberg suchen wir einen Sektionsleiter für den Neuaufbau der Abteilung für Interventionelle Neuroradiologie. Ihr Profil ist mir dabei aufgefallen und ich würde mich freuen, wenn die weiter unten beschriebene Position vielleicht interessant für Sie ist:

Unser Mandant ist ein mittelgroßer Klinikverbund mit zwei Standorten im nördlichen Baden-Württemberg. Als Sektionsleiter übernehmen Sie den organisatorischen und fachlichen Neuaufbau der Abteilung an einem der Standorte. Die Position des Sektionsleiters ist organisatorisch dem CA der Radiologie unterstellt, wobei Sie aber fachlich komplett selbstständig arbeiten und entscheiden können. Eine Neurochirurgie gibt es an keinem der Standorte.

Die aktuelle Ausgangssituation ist, dass man nur einen Neuroradiologen hat, der ausschließlich im Tagesdienst Thrombektomien durchführt. Der Kollege hat dieses Jahr angefangen und es wird davon ausgegangen, dass man nach 12 Monaten auf ca. 40-50 Thrombektomien kommen wird. Mit einem Einzugsgebiet von 440.000 Einwohnern und einem 24/7 Betrieb wäre das Potenzial für etwa 120 bis 150 Thrombektomien pro Jahr gegeben.

Unser Mandant wünscht sich eine kollegiale Persönlichkeit mit fundierter interventioneller und diagnostischer Erfahrung (Modul E wird vorausgesetzt), sowie einem kollegialen Führungsstil und einer Hands-on-Mentalität. Die Geschäftsführung ist sich der Tatsache bewusst, dass ein solcher Neuaufbau Zeit in Anspruch nimmt. Es ist nicht nur erforderlich, das ärztliche Team aufzubauen, sondern auch das nicht-ärztliche Team. Gleichzeitig müssen die entsprechenden Strukturen und Abläufe etabliert werden.

Zudem sollte man bereit sein, junge Ärzte mit auszubilden und die entsprechende Weiterbildung in der Neuroradiologie anzubieten, um den Standort langfristig attraktiver zu gestalten. Kurz- bis mittelfristig werden mehrere Oberärzte in den Ruhestand gehen. Diese Positionen sollen mit jungen Kolleginnen und Kollegen aus den eigenen Reihen nachbesetzt werden. 

Das Angebot wird durch ein attraktives Jahresgehalt von 250.000€ bei Vollzeit, sowie der Möglichkeit einer Mitarbeiterwohnung abgerundet. Die Wohnung kann für die ersten sechs bis neun Monate gemietet werden und ist fußläufig an die Klinik angebunden. Mit dem Gehalt sind 10 Dienste abgegolten, die jedoch erst anfallen, wenn die Abteilung mit den entsprechenden Strukturen aufgebaut ist.

Klingt das interessant für Sie? Über eine Rückmeldung und einen weiterführenden Austausch würde ich mich sehr freuen.

Vielen Dank im Voraus. 

Mit freundlichen Grüßen
Tom Putilin",2026-01-25 14:02:07,2026-01-25
,,,cold,1016,,,,,,,48113-11-21,48113-11-21,,,,"anderweitig vergeben

Kantonsspital St. Gallen, 2028 kommt Neubau mit neuer Biplaner Anlage und da soll dann die Interventionelle Neuroradiologie hinziehen. 
Dr. Hellstern will dann eigene Abteilung (Neuozentrum) haben, aktuell noch unter der Radioloige. Sie ist seit 02-2025 da. 
Auch spinale Interventionen werden gemacht. 
Dr. Leschka ist CA Radiologie. 
ischemische und hämorrhagische Notfälle
pro Woche 2 Narkosetage hat und pro Jahr ca. 200 Thrombektomien, 20 AVM, 20 Durafisteln und 100-120 Aneurysmen (50 SAB und 50-70 elektiv) .
Pensum 80-100% 
Reale Arbeitszeit 50 Std Woche
Will auf 100 Aneurysmen elektiv
Einzugsgebiet ist 1 mio Einwohner
1 OA im Team lernt noch
6 machen Thrombektomien aktuell
5-6 Thrombektomiedienste muss man machen
nicht kurz vor Rente
HandsOn Mentalität
Germe Forschung weil man muss an Studien mitmachen
offene Kommunikation

im Auftrag unseres Mandanten suchen wir einen Kaderarzt für die stellvertretende Abteilungsleitung in der Interventionellen Neuroradiologie. Das gesamte elektive Spektrum (Modul F) wird aktuell nur durch den Abteilungsleiter abgedeckt, sodass man Sie gerne als zweiten erfahrenen Spezialisten für den weiteren Ausbau der Interventionellen Neuroradiologie gewinnen möchte.

Unser Mandant ist ein Schweizer Kantonsspital und betreibt in der Region übergreifend mehrere Spitäler mit einem Einzugsgebiet von ca. 1 Mio. Einwohnern. Aktuell ist die Fachabteilung der Interventionellen Neuroradiologie organisatorisch noch an die allg. Radiologie angebunden, wobei sich der Abteilungsleiter in Zukunft eine eigenständige Struktur im Rahmen eines Interventionellen Neuroradiologischen Zentrums wünscht. Im Jahr 2028 wird man einen Neubau fertigstellen, wo das neue Zentrum, sowie eine neue biplane Angiographie-Anlage einziehen könnten. Bis dahin möchte man die Zahl der elektiven Eingriffe entsprechend steigern und somit die Basis für das spätere Zentrum schaffen. 

Sie erwartet eine spannende organisatorische und fachliche Aufgabe mit Entwicklungspotenzial und einem breiten interventionellen Spektrum. 
Die aktuelle Ausgangslage ist, dass man pro Woche 2 Narkosetage hat und pro Jahr ca. 200 Thrombektomien, 20 AVM, 20 Durafisteln und 100-120 Aneurysmen (50 SAB und 50-70 elektiv) macht. 
Das aktuelle Team besteht aus einem Abteilungsleiter, sowie 5 weiteren OA-Kolleginnen und -Kollegen, die Thrombektomien machen und an Rufbereitschaftsdiensten (ca. 5-6 pro Monat) teilnehmen. 

Unser Mandant wünscht sich eine kollegiale Persönlichkeit mit fundierter Interventioneller Erfahrung in den oben genannten Verfahren. Gleichzeitig wird ein Interesse an Forschung vorausgesetzt, weil man eine Beteiligung an Studien erwartet, sowie die Bereitschaft junge Kolleginnen und Kollegen auszubilden. Das Gehaltsbudget für die Position beträgt 250.000 CHF p.a. bei Vollzeit (80%-100% möglich). 

Klingt das interessant für Sie? Über eine Rückmeldung und einen weiterführenden Austausch würde ich mich sehr freuen. 

PS: Für uns als Info:
-Budget ist 250.000 CHF fix!
-Mebeko dauert im Moment 6 Monate",2026-01-25 14:02:07,2026-01-25
Facharzt,Radiologie,,hot,1019,,,,Frau Schimmelpenning,Tel.,,2025-11-24,2026-05-23,,,,"lieben Dank für das freundliche Telefonat von soeben. Wie angesprochen habe ich mit Frau Schimmelpenning telefoniert. Sie ist verantwortlich für die Personalsuche bei unserem Mandanten. 

Bei der Stelle in Essen geht es um eine Stelle als Fachärztin in der Praxis Ruhrradiologie, wobei es zwei Standorte gibt. 
1.https://www.ruhrradiologie.de/standorte/essen-rue191 - Essen Süd
2.https://www.ruhrradiologie.de/standorte/essen-kennedyplatz - Essen Mitte

Die Kolleginnen und Kollegen der beiden Standorte unterstützen sich gegenseitig, sodass man auch mal an den zweiten Standort aushelfen müsste, wenn jemand krank wird oder Urlaub hat. 
Die üblichen Arbeitszeiten in der Praxis sind Mo-Fr 7-20 Uhr, wobei es bei Bedarf und hoher Nachfrage auch manchmal am Samstag eine Schicht gibt. 

Des Weiteren gibt es keinen festen Starttermin und man kann den Startzeitpunkt gerne frei abstimmen. Gleichzeitig wäre sowohl eine Vollzeitstelle als auch Teilzeit möglich. Auch würde es gehen, dass man eine 4 Tage Woche Mo-Do a 10 Stunden pro Tag macht und dann immer ein verlängertes Wochenende hätte. 

Das Tätigkeitsspektrum umfasst MRT, CT, Röntgen, sowie auf Wunsch auch die Prostata-, Herz-, Lungen- und Brust-Diagnostik. Zu beachten bleibt, dass man in der Praxis auch Patientengespräche anbietet, die dann von den Ärztinnen und Ärzten geführt werden müssen. 
Alt Anhaltspunkt für die tägliche Befundanzahl können 35-40 Schnittbilder angenommen werden + Röntgen, wobei MSK klar im Fokus steht. 
Eine Einarbeitung wird vor Ort vorab direkt mit der Standortleitung abgestimmt und richtet sich nach den individuellen Bedürfnissen und Wünschen. 

Beim Gehalt gibt es kein festes Budget. Es kommt darauf an, welche Qualifikationen man mitbringt und ob man Vollzeit oder TZ arbeiten möchte. 

Ich bin sehr gespannt, ob diese Informationen interessant für Sie sind und freue mich auf Ihre Rückmeldung. Gerne stehe ich Ihnen bei Fragen auch jederzeit zur Verfügung.",2026-01-25 14:02:07,2026-01-25
Ltd. OA,Radiologie,,cold,1000,,,,Herr Rosehi,Tel.,,2025-05-06,2025-11-02,,,https://www.maerkische-kliniken.de/klinikum-luedenscheid/karriere/stellenangebote/stellenangebot/?tx_asjobboerse_pi1%5Bselect_institute%5D=10&tx_asjobboerse_pi1%5Bsuche%5D=Neuroradiologie&tx_asjobboerse_pi1%5Bstichworte%5D=Neuroradiologie&tx_asjobboerse_pi1%5BoccSelect%5D=7&cmd=viewDetail&tx_asjobboerse_pi1%5Bitem%5D=2003&cHash=1badf942788aae8af677bc6fcd1eccdc,"suchen Ltd. OA Schnittbilddiagnostik mit Diensten (Thrombektomien)

2 MRT 1,5 und 3,0 T
1 CT Herz (Doual Source) + weitere 1 CT in Notaufnahme + weitere 2 CT im Haus
kein Sono, machen die Innere
1000 Betten (Uni Niveau)
Mamma wenn möglich mitmachen
Q1 zertifizeirung in Diagnostik ist mindestens, weil andere OA geleitet werden müssen
Schlüssel 1 CA-2 Ltd. -4 OA -6 AA

Sehr geehrter Herr Dr. Müller,

gerne möchte ich den Kontakt mit meiner Kollegin Frau Boss aus dem Jahr 2022 aufgreifen und Ihnen eine spannende Vakanz als Leitender Oberarzt bei unserem Mandanten in NRW vorstellen: 

Bei der Position unterstützen wir den neuen CA des Klinikum Lüdenscheid Herrn Dr. Ochtrop. Gerne übersende ich Ihnen vorab den Link zu der Abteilung: https://www.maerkische-kliniken.de/klinikum-luedenscheid/medizin/klinik-fuer-diagnostische-und-interventionelle-radiologie/startseite.html

Herr Dr. Ochtrop baut seit dem 01.07.2025 ein neues Team auf (https://www.maerkische-kliniken.de/presse/pressemeldung/neuer-klinikdirektor-fuer-radiologie-am-klinikum-luedenscheid-dr-med-thomas-alexander-ochtrop-startet-zum-1-juli.html) und sucht mit unserer Hilfe einen Stellvertreter als Ltd. OA / Stv. CA mit dem Fokus auf der Diagnostischen Radiologie. 

Sie erwartet ein breites diagnostisches Spektrum inkl. Herz- und Prostata-Diagnostik, wobei die Klinik (1000 Betten) über 2 MRT (1,5 und 3,0 T), 1 CT Herz (Doual Source) + weitere 1 CT in Notaufnahme + weitere 2 CT im Haus verfügt. Eine Mitarbeit in der interventionellen Neuroradiologie (Thrombektomien) wäre ebenfalls möglich und wünschenswert. Der geplante Stellenschlüssel ist 1 CA - 2 Ltd. - 4 OA - 6 AA.

Herr Dr. Ochtrop wünscht sich jemand junges und motiviertes. Gerne mit viel Erfahrung in MSK- und nach Möglichkeit einer weiteren Subspezialisierung. Auch sollte man gerne junge Kolleginnen und Kollegen ausbilden. 

Das Gehaltsbudget schätze ich auf 180-200k € p.a., je nach Ihrer Bereitschaft zur interventionellen Mitarbeit und den Rufbereitschaftsdiensten. 

Meiner Einschätzung nach bietet die Stelle eine spannende Kombination aus einem jungen und motivierten Team, sowie einem großen Gestaltungsspielraum in einem Haus auf universitärem Niveau. 

Über eine Rückmeldung, ob diese Möglichkeit interessant klingt, würde ich mich sehr freuen.",2026-01-25 14:02:07,2026-01-25
Ltd. OA,Radiologie,,cold,1002,,,,Herr Segali,Tel.,,2025-04-07,2025-10-04,,,,"haben vor Ort 3 MRT, 2 CT, 2 Röntgen, Anlage für Angiographie. Suchen jemanden mit Fokus auf ambulante Patienten und Zuweiserakquise.",2026-01-25 14:02:07,2026-01-25
"Facharzt, Oberarzt, Ltd. OA, Chefarzt",Nuklearmedizin,,hot,1003,,,,Dr. Mergen,,,48113-11-21,48113-11-21,,,,"vereinbart dass wir alles mit 30€ pro Schnittbild nehmen.
MRT - 30€
PET/CT = 90€ weil Abdomen, Thorax und Kopf
Staging = 60€ oder 90€ je nachdem ob mit Kopf oder ohne

Ralf Möller sind größter TeleRadioloige Anbieten und betreuen 80 Klinken - zahlen dem Arzt 24€ pro Schnittbild Befund
Andere Anbieten zahlen dem Arzt bis zu 35€ pro Schnittbild Befund. Es kann auch mehr sein, je nachdem ob Tagdienst oder Nachts.

Wir schreiben in die Verträge 5h Arbeiszeit 
Einarbeitung vor Ort muss sein
Zweitbefundung ist immer möglich.

Bezüglich der zu befundenen Kapazitäten habe ich erfahren, dass man aktuell an 2 Tagen pro Woche jeweils nur den Vormittag an 2 PET/CT (dem alten und dem neuen) arbeitet. Diese Menge könnte man kurz- bis mittelfristig verfünffachen. Somit gehe ich davon aus, dass man theoretisch bis zu 100 PET/CT pro Woche telemedizinisch befunden könnte. 

Gerne Termin mit Dr. Klein machen. 
Haben viele Kontroll PETs ohne Befund. Rechnet deshalb mit ca. 30min pro PET/CT. Dann wäre der Stundensatz von 125-150€ auch OK. 
Machen aktuell an 2 PETs alles an 2 Vormittagen. Könnten x5 oder x8 machen. Bekommen 450€ brutto also 250 netto. Pro PET also 60-75€ für den Arzt wären ok. 
Bieten maximale Logistik. 
Wichtig sind 2 Sachen. In 15 Min Erreichbarkeit ein verantwortlicher Arzt. Selbstständig befunden. 

Die gesamte Logistik ist dabei seitens des MVZ maximal effizient sichergestellt, sodass Sie alle Vorbefunde und Bilder für Ihren Befund zur Verfügung hätten. Gleichzeitig zeigt die aktuelle Erfahrung, dass jedes zweite PET/CT zur Kontrolle und ohne Befund ist. Herr Dr. Mergen geht deshalb davon aus, dass man im Wochendurchschnitt auf 30 Min. pro Befund kommen wird. 

Vor diesem Hintergrund haben wir erstmal eine Pauschale von 65€ pro Befund definiert, sodass man am Ende auf einen Stundensatz von 130€ pro Stunde kommen würde. 

Organisatorische und rechtliche Rahmenbedingungen:
•Wer trägt die Verantwortung vor Ort? Ist gewährleistet, dass ein Strahlenschutzbeauftragter sowie ein fachkundiger Arzt für die rechtfertigende Indikation vorhanden sind?
•Handelt es sich bei der vorgesehenen Tätigkeit um eine teleradiologische Befundung oder um eine Telekonsultation (Zweitmeinung)?
•Wie ist die Haftung geregelt? – Stichwort Haftpflichversicherung.
•Sind alle datenschutzrechtlichen Aspekte (DSGVO-konform) abschließend geklärt?

Technische Voraussetzungen:
•Welche technischen Bedingungen (Datenverbindung, Hardware, Software) werden bereitgestellt oder vorausgesetzt?
•Wie erfolgt der Zugang zum PACS bzw. Befundungssystem?
•Steht ein technischer Support für Rückfragen oder bei Störungen zur Verfügung?

Inhaltliche und qualitative Anforderungen:
•Gibt es vorgegebene Befundstrukturen oder Formate, die gewünscht werden / eingehalten werden sollen? 
•Ist ein Zeitrahmen für die Befundübermittlung definiert?
•Werden klinische Informationen wie Anamnese, Voruntersuchungen, Vorbefunde und Fremdbilder zuverlässig zur Verfügung gestellt? Stehen Ansprechpartner für Rückfragen vor Ort zur Verfügung?
•Handelt es sich vorwiegend um onkologische PET/CTs im Rahmen der Qualitätssicherungsvereinbarung PET/CT, oder sind auch andere Indikationen in relevantem Umfang vorgesehen?

Vergütung und Arbeitsmodelle:
•Wie genau ist die Vergütung geplant? Erfolgt diese beispielsweise pauschal pro PET/CT, und wenn ja, in welcher Höhe?
•Sind garantierte Mindestmengen vorgesehen, etwa eine feste tägliche oder wöchentliche Untersuchungsanzahl, oder ist die Tätigkeit flexibel skalierbar?
•Sind Vertragslaufzeiten oder Kündigungsfristen vorgesehen?
•Gibt es Alternativen zu einer frei-/nebenberuflichen Tätigkeit (z. B. Anstellung), und liegen hierzu bereits Vorstellungen zur Vergütung vor?

Zeitplanung:
•Wie sieht die Zeitschiene Ihres Auftraggebers aus, insbesondere bezüglich des Starts der ersten Befundungen?",2026-01-25 14:02:07,2026-01-25
"Facharzt, Standortleiter",Radiologie,,cold,1004,,,,Dr. Knüppelholz,,,48113-11-21,48113-11-21,,,,"Ich konnte soeben mit Conradia (Personalreferentin Frau Ladendorf und Personalreferentin für Ärzte Frau Kijan) telefonieren und diskret alle Fragen besprechen.

Man ist gerne bereit die Stundenverteilung und die Arbeitszeiten in einem persönlichen Gespräch abzustimmen. Dass Sie um spätestens 16 Uhr das Haus verlassen müssen, ist kein KO-Kriterium. Alle genannten Modelle (zB 5 Tage a 6 Std oder 4 Tage a 7 Stunden o.ä.) sind denkbar. Wichtig wäre, dass man im Team auch Urlaubszeiten und Ferienzeiten fair abdeckt und man im Team gut kommuniziert. 

In Elmshorn arbeitet man zurzeit sogar noch 8-19 Uhr, was aber wenig Sinn macht, weil der externe Bereitschaftsdienst schon um 16 Uhr anfängt. Es macht also keinen Sinn bis 19 Uhr einen Arzt vor Ort zu halten. Man überlegt bei der Conradia aktuell, dass man den Standort grundsätzlich auf 8-16:30 Uhr umstellt!

Noch ist man bei der Conradia nicht soweit, dass man Ihnen auch einen Home-Office Anteil anbieten kann. Über die Möglichkeit zusätzlich teleradiologisch zu befunden könnte man aber ebenfalls sprechen. Ihre Kündigungsfrist von 4 Monaten ist kein Problem. Man ist sehr gerne bereit auf die richtige Kollegin zu warten. 

Des Weiteren hat man mich gefragt, ob Sie vielleicht auch Lust hätten, die Standortleitung zu übernehmen? Diese Position ist weniger mit administrativen Aufgaben verbunden, weil diese zentral in Bergedorf stattfinden und hat mehr mit der interdisziplinären Kommunikation zu den Kolleginnen und Kollegen im Krankenhaus und im eigenen Team zu tun. Als Standortleiter wären Sie der erste ärztliche Ansprechpartner vor Ort. Auch wäre es kein Problem, dass Sie dabei eine Teilzeitstelle haben. Wichtig ist, dass es Ihnen Spaß macht viel und mit allen zu kommunizieren und bei Problemen empathisch nach Lösungen zu suchen. 

Des Weiteren habe ich erfahren, dass Sie in Elmshorn mit 2 Systemen arbeiten würden. Ein System für stationäre Patienten des Krankenhauses und ein weiteres als Pool, bei dem Sie auch Patienten aus anderen Standorten der Conradia befunden würden. 

Eine weitere gute Nachricht ist, dass es nur ein Fixgehalt gibt, ohne einen variablen Anteil. Selbstverständlich würde bei einer Standortleitung noch eine Leitungszulage hinzukommen. 
Zusätzlich hat man bei der Conradia ebenfalls 31 ebenfalls Urlaubstage, weil der 24./31.12. halbtägig vom Arbeitgeber „geschenkt“ wird.",2026-01-25 14:02:07,2026-01-25
Ltd. OA,"Radiologie, Neuroradiologie",,cold,1005,,,,,,,48113-11-21,48113-11-21,,,,"Sehr geehrter Herr Dr. Müller,

für unseren Mandanten an der Ostsee suchen wir zum nächstmöglichen Zeitpunkt einen Leitenden Oberarzt für Radiologie und Neuroradiologie (m/w/d).

Unser Mandant betreibt in der Region eine Klinik der Schwerpunktversorgung, wobei 
Ihre Tätigkeitsschwerpunkte akute Neurointerventionen (Thrombektomien), sowie die Schnittbilddiagnostik wären. In der Abteilung werden im Jahr ca. 100 Thrombektomien durchgeführt. Die Rufquote bei den Rufbereitschaftsdiensten liegt bei angenehmen 25%. Die Aufteilung der Rufbereitschaftsdienste erfolgt wochenweise im Team mit 3 weiteren Kolleginnen und Kollegen. 

Ein unbefristeter AT-Vertrag mit einer Vergütung bis zu 220.000€ p.a. rundet das Angebot ab. 

Unser Mandant wünscht sich eine kollegiale Persönlichkeit mit fundierter Erfahrung bei Thrombektomien. Das Modul E wäre wünschenswert, kann aber auch vor Ort gemacht werden. 

Klingt das interessant für Sie?

Gerne stelle ich Ihnen unseren Mandanten und weitere Details in einem unverbindlichen und diskreten Gespräch vor und freue mich auf Ihre Rückmeldung!",2026-01-25 14:02:07,2026-01-25
Standortleiter,Radiologie,,hot,1021,,,,Herr Segali,Tel.,,2025-12-03,2026-06-01,,,https://karriere.med360grad.de/jobs/61259662/Facharzt-f%C3%BCr-Radiologie-m-w-d-/,"Standortleiter Radiologie (m/w/d)
180.000€ p.a. | Vollzeit | keine Dienste

Im Auftrag unseres Mandanten an der Ostsee suchen wir im Rahmen einer Nachfolgeregelung zum nächstmöglichen Zeitpunkt eine neue Standortleitung für den Fachbereich Radiologie, mit Schwerpunkt auf der ambulanten Versorgung.. 

Unser Mandant ist ein großer Verbund, der unter anderem die stationäre und ambulante radiologische Versorgung an zwei Standorten im nördlichen Mecklenburg-Vorpommern sicherstellt. Als Standortleitung übernehmen Sie die organisatorische und fachliche Verantwortung an beiden Standorten, die nur 25km voneinander entfernt liegen. 

Das Tätigkeitsspektrum am Hauptstandort (500 Betten) umfasst die Befundung im MRT und CT, sowie 1x pro Woche in der Brustdiagnostik (kein Screening). Am kleineren Nebenstandort gibt es nur ein CT und Röntgen. Unterstützt werden Sie dabei von zwei Kollegen in Teilzeit mit 25 und 30 Wochenstunden. 

Unser Mandant wünscht sich eine kollegiale Persönlichkeit mit fundierter diagnostischer Erfahrung und interdisziplinärer Kompetenz. Erfahrung in der Brustdiagnostik oder die Bereitschaft zur erneuten Einarbeitung werden ebenfalls vorausgesetzt, ebenso wie die Bereitschaft, regelmäßig an beiden Standorten tätig zu sein.

Dafür erwartet Sie ein attraktives Jahresgehalt von 180.000 € - ohne Dienste, das sich aus einem Grundgehalt von 168.000 € und einem variablen Anteil von zusätzlich 12.000 € zusammensetzt. Gleichzeitig unterstützt unser Mandant Sie mit bezahlten Fort- und Weiterbildungen sowie 32 Tagen Urlaub im Jahr.



📩 Klingt das interessant für Sie?
Dann freue ich mich über Ihre Bewerbung an alexander.likhachev@rheincruiters.de oder 0151/15880209

(Diskretion ist selbstverständlich)

Standort: Schwerin 

Bei der beschriebenen Vakanz handelt es sich um eine MVZ-Leitung mit 2 Besonderheiten, die ich Ihnen im Folgenden gerne schon mal vorstellen möchte. 

Unser Mandant bei dieser Position ist ein Marktbegleiter Ihres aktuellen Arbeitgebers – die Med360 Radiologie in Wismar. Als MVZ bzw. Standortleiter würden Sie die fachliche und organisatorische (hier ebenfalls Dienst- und Urlaubsplanung) Leitung in einem kleinen Team von zwei Kollegen in Teilzeit mit 25 und 30 Wochenstunden übernehmen. 

Dabei wäre zu beachten, dass Sie mit Ihrem Team sowohl das MVZ am SANA KH in Wismar als auch das kleine MVZ am DRK KH in Grevesmühlen (25 km von Wismar entfernt) versorgen. An dieser Stelle möchte ich erwähnen, dass Ihr Vertrag auf eine Beschäftigung von 40 Stunden pro Woche (Vollzeit) ausgelegt wird und man mit 2,5 Stelle natürlich nicht 2 MVZ abdecken kann. 
Dazu müsste man dann die zweite Besonderheit dieser Position beachten. Die radiologischen Strukturen am MVZ in Wismar (500 Betten) sind in eine „klinische Radiologie“ und eine „ambulante Versorgung“ aufgeteilt und existieren parallel. Neben Ihrem Team, dass sich primär um die ambulanten Patienten in Wismar und alle Patienten in Grevesmühlen kümmern würde, gibt es in Wismar noch ein Team der „stationären bzw. klinischen Abteilung“. 

Ihr Tätigkeitsspektrum würde die Befundung im MRT und CT, sowie 1x pro Woche in der Brustdiagnostik (kein Screening) umfassen. Am kleineren Nebenstandort gibt es nur ein CT und Röntgen. Das gewünschte Pensum liegt bei ca. 35 Schnittbildern + Röntgen und wird wahrscheinlich ähnlich Ihrer aktuellen Situation sein. 

Das Gehaltsbudget p.a. setzt sich zusammen aus einem Fixgehalt von 168.000€ + 12.000-15.000€ Tantiemen – ohne Dienste. 

Unser Mandant wünscht sich eine kollegiale Persönlichkeit, weil man eben mit den Kollegen der klinischen Abteilung zusammenarbeiten muss. Erfahrung in der Brustdiagnostik oder die Bereitschaft zur erneuten Einarbeitung werden ebenfalls vorausgesetzt, ebenso wie die Bereitschaft, regelmäßig an beiden Standorten tätig zu sein. Wichtig wäre auch, dass Sie als Leiter der „ambulanten“ Versorgung einen guten Draht mit den Zuweisern vor Ort haben und diesen auch weiter halten. 

Den direkten Kontakt zu unserem Mandanten hält mein Kollege Herr Putilin, den Sie auch schon kennengelernt haben. Wir würden uns sehr",2026-01-25 14:02:07,2026-01-25
