Bezeichnung,Kurze Beschreibung,Gängige Abkürzungen
"MSK","Bildgebung des Bewegungsapparats (Muskeln, Sehnen, Gelenke, Knochen), inkl. Sportverletzungen und degenerativer Veränderungen.","MSK, MSK-Radiologie"
"KI-Zertifizierung","Qualifikation im Einsatz von Künstlicher Intelligenz in der Medizin, z.B. für Bildanalyse, Entscheidungsunterstützung oder Workflowoptimierung.","KI, AI, AIM (Artificial Intelligence in Medicine)"
"Abdominelle Diagnostik","Bildgebende Diagnostik der Bauchorgane (Leber, Gallenwege, Pankreas, Milz, Nieren, Darm etc.) mittels Ultraschall, CT, MRT und ggf. Kontrastmittel.","Abdomendiagnostik, Abdomen-US, Abdomen-CT, Abdomen-MRT"
"Mamma","Bildgebende Diagnostik der Brustdrüse, inkl. Screening, Abklärung von Knoten, prä- und postoperativer Kontrolle.","Mamma, Mamma-Radiologie, Mamma-Diagnostik"
"Herz","Bildgebung und funktionelle Diagnostik des Herzens, z.B. mittels Echokardiographie, CT, MRT oder Szintigraphie.","Kardio, Cardio, Herzechokardiographie (Echo), CCT (Cardio-CT), CMR (Cardio-MRT)"
"Prostata","Bildgebung und Diagnostik der Prostata, v.a. mittels transrektalem Ultraschall und multiparametrischer MRT (mpMRT).","mpMRT-Prostata, Prostata-MRT, TRUS (transrektaler Ultraschall)"
"Staging","Bildgebung zur Ausbreitungsdiagnostik von Tumorerkrankungen (Lokalbefund, Lymphknoten, Fernmetastasen).","Staging, Tumor-Staging, onkologische Bildgebung"
"CT","Schnittbilddiagnostik mittels Computertomographie, z.B. für Thorax, Abdomen, Kopf, Gefäße und Notfalldiagnostik.","CT, CCT (Cranial-CT), HRCT (High Resolution CT), CT-Angio"
"Q1 Herz und Prostata","Spezielle KV-Zusatzqualifikation für definierte Untersuchungen an Herz und Prostata (z.B. in der vertragsärztlichen Versorgung).","Q1 Herz, Q1 Prostata, Q1-Qualifikation"
"Pränataldiagnostik","Bildgebende Diagnostik des ungeborenen Kindes und der Schwangerschaft, v.a. durch hochauflösenden Ultraschall und ggf. MRT.","Pränataldiagnostik, DEGUM II/III, FE (fetale Echokardiographie)"
"Gynäkologie","Diagnostik und Therapie im Bereich der weiblichen Geschlechtsorgane, sowohl klinisch als auch bildgebend (US, MRT).","Gyn, Gynäkologie, Gyn-US, Gyn-MRT"
"Pädiatrische interventionelle Neuroradiologie","Kathetergestützte Eingriffe an Gefäßen und Strukturen des Gehirns und Rückenmarks bei Kindern (z.B. Embolisationen).","PINR, pädiatrische INR, päd. Neurointerventionen"
"Kinderklinik","Klinische Versorgung und Diagnostik von Kindern und Jugendlichen in allen pädiatrischen Fachbereichen.","Pädiatrie, Kinderklinik"
"Schnittbild","Sammelbegriff für CT- und MRT-Diagnostik (Schnittbildverfahren) verschiedener Körperregionen.","Schnittbild, CT/MRT, cross-sectional imaging"
"Kinderradiologie","Bildgebende Diagnostik bei Kindern und Jugendlichen unter besonderer Berücksichtigung von Strahlenschutz und Entwicklung.","Pädiatrische Radiologie, Kinderradiologie, Pädiatrie-Radiologie"
"Mammographie","Röntgenbasierte Screening- und Diagnostikmethode der weiblichen Brust, oft ergänzt durch Tomosynthese und Ultraschall.","MG, Mamma-MG, Mammographie-Screening"
"PRT","Periradikuläre Therapie an der Wirbelsäule mit bildgesteuerter Injektion von Medikamenten an Nervenwurzeln, v.a. bei Schmerzen.","PRT, CT-gesteuerte PRT"
"DSA","Digitale Subtraktionsangiographie zur hochauflösenden Darstellung von Gefäßen, oft als Grundlage interventioneller Eingriffe.","DSA, Angiographie, Neuroangiographie (bei Hirngefäßen)"
"Normale Interventionen","Standard-interventionelle radiologische Eingriffe wie Drainagen, Biopsien, Portanlagen, Gefäßinterventionen.","Interventionelle Radiologie, IR, Basisinterventionen"
"Teleradiologie","Befundung radiologischer Untersuchungen über Distanz über gesicherte Datenverbindungen, z.B. für Nacht- oder Notfalldienste.","Teleradiologie, Tele-Radiologie"
"PVA","Pauschalierte Vergütungsform oder besondere Versorgungsabrede, häufig für ambulant-stationäre Grenzbereiche; lokal unterschiedlich definiert.","PVA"
"Q1","Spezielle fachärztliche Zusatzqualifikation (z.B. KV-Qualifikationsstufe) für definierte Untersuchungen oder Behandlungen.","Q1, Q1-Qualifikation"
"Unfallchirurgie","Versorgung von Unfallverletzten inkl. Frakturen, Weichteilverletzungen und Polytrauma, konservativ und operativ.","Unfallchirurgie, UC, Traumatologie"
"Notfallmedizin","Akutmedizinische Versorgung von Patienten mit lebensbedrohlichen Zuständen in Notaufnahme und prähospital.","Notfallmedizin, Emergency Medicine"
"Notarzttätigkeit","Prähospitale Akutversorgung durch speziell qualifizierte Ärzte im Rettungsdienst.","NA, Notarzt, NEF (Notarzteinsatzfahrzeug)"
"Viszeralchirurgie","Operative Behandlung von Erkrankungen der Bauchorgane, z.B. Leber, Pankreas, Darm, Magen, Gallenwege.","Viszeralchirurgie, Allgemein- und Viszeralchirurgie"
