conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,technische Probleme lösen,released,skill/competence,cross-sector,,Technische Probleme bei der Nutzung von Geräten und digitalen Umgebungen ermitteln und (von der Fehlersuche bis hin zur Lösung komplexerer Probleme) lösen.,http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996 | http://data.europa.eu/esco/skill/0b9968af-72de-470a-98e1-2d19577443fb | http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,Probleme ermitteln | Lösen von Computerproblemen | Problemlösung mit IKT-Instrumenten und Hardware
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce,Elektronische Dienste nutzen,released,skill/competence,cross-sector,sich mithilfe digitaler Technologien bürgerschaftlich engagieren,Durch die Nutzung öffentlicher und privater digitaler Dienste an der Gesellschaft teilhaben. Nach Möglichkeiten zur Selbstermächtigung und zur partizipativen Bürgerschaft durch geeignete digitale Technologien suchen.,http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,Nutzung digitaler Tools für Zusammenarbeit und Produktivität | digitale Kommunikation und Zusammenarbeit
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9,digitale Technologien kreativ einsetzen,released,skill/competence,cross-sector,,"Digitale Werkzeuge und Technologien einsetzen, um Wissen zu schaffen und Verfahren und Produkte zu innovieren. Individuell und kollektiv an der kognitiven Verarbeitung teilnehmen, um konzeptionelle Probleme und Problemsituationen in einem digitalen Umfeld zu verstehen und zu lösen.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,Nutzung digitaler Tools für Zusammenarbeit und Produktivität | Problemlösung mit IKT-Instrumenten und Hardware
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650,"Daten, Informationen und digitale Inhalte bewerten",released,skill/competence,cross-sector,,"Die Glaubwürdigkeit und Zuverlässigkeit von Datenquellen, Informationen und digitalen Inhalten analysieren, vergleichen und kritisch bewerten. Daten, Informationen und digitale Inhalte analysieren, auslegen und kritisch bewerten.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/1f2950c0-ef1e-44b4-9a55-125ccd7b78af,Verarbeitung digitaler Daten | Analyse und Auswertung von Informationen und Daten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,Computerprogrammierung,released,knowledge,cross-sector,,"Techniken und Grundsätze der Softwareentwicklung wie Analyse, Algorithmen, Programmierung, Testen und Kompilieren von Programmierparadigmen (z. B. objektorientierte Programmierung, Funktionsprogrammierung) und von Programmiersprachen.",http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/isced-f/0613,Erstellung digitaler Inhalte | Entwicklung und Analyse von Software und Anwendungen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/238343b1-7b51-42b3-a9ed-cf24d3a236e7,Defizite bei der digitalen Kompetenz ermitteln,released,skill/competence,cross-sector,Lücken bei den IKT-Kompetenzen erkennen,"Verstehen, wo die eigene digitale Kompetenz verbessert oder aktualisiert werden muss. In der Lage sein, andere bei der Entwicklung ihrer digitalen Kompetenzen zu unterstützen. Möglichkeiten suchen, sich selbst zu entwickeln und mit der digitalen Entwicklung auf dem neuesten Stand zu halten.",http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/54f7432d-a8b6-4ed4-a50e-9ec882320595,"Problemlösung mit IKT-Instrumenten und Hardware | Überwachung, Inspektion und Prüfung"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34a99f-9813-4c91-9509-b6b9b8c3132e,mithilfe digitaler Technologien zusammenarbeiten,released,skill/competence,cross-sector,,Einsatz digitaler Werkzeuge und Technologien für kollaborative Prozesse und zur gemeinsamen Gestaltung und Nutzung von Ressourcen und Wissen.,http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,Nutzung digitaler Tools für Zusammenarbeit und Produktivität | digitale Kommunikation und Zusammenarbeit
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb,persönliche Daten und Privatsphäre schützen,released,skill/competence,cross-sector,,"Schutz persönlicher Daten und der Privatsphäre in digitalen Umgebungen. Verstehen der Nutzung und Verbreitung personenbezogener Daten sowie die Fähigkeit, sich selbst und andere vor Schäden zu schützen. Verständnis dafür, dass digitale Dienste „Datenschutzbestimmungen“ verwenden, um darüber zu informieren, wie personenbezogene Daten verwendet werden.",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/2b6e15f5-dfa0-4e7c-9687-5665b07e56a4,IKT-Sicherheit | Schutz von Privatsphäre und personenbezogenen Daten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/40001d93-8937-4859-89d5-2dca53290ff4,mithilfe digitaler Technologien teilen,released,skill/competence,cross-sector,,"Weitergabe von Daten, Informationen und digitalen Inhalten an andere durch geeignete digitale Technologien. Ansprechpartner, der sich mit Verweisen und Quellenangaben auskennt.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,Nutzung digitaler Tools für Zusammenarbeit und Produktivität | digitale Kommunikation und Zusammenarbeit
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,IKT-Sicherheit,released,,,,"Persönlicher Schutz, Datenschutz, Schutz digitaler Identitäten, Sicherheitsmaßnahmen, sichere und nachhaltige Nutzung.",http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,Schützen von IKT-Geräten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/42fcf80d-7b45-40f3-bd2f-5411c4c0dfa0,technologischen Bedarf feststellen,released,skill/competence,cross-sector,,"Einschätzung des Bedarfs, Identifizierung digitaler Hilfsmittel, Ermittlung möglicher technologischer Lösungen zur Bedarfsdeckung. Individuelle Anpassung der digitalen Umgebung an persönliche Bedürfnisse (z. B. Barrierefreiheit).
   ",http://data.europa.eu/esco/skill/aca5081a-ceb0-4028-9cc5-1daafd4f86f9 | http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,Entwickeln von Lösungen | Problemlösung mit IKT-Instrumenten und Hardware
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4d97e3c3-f335-47cc-a4ee-0d779fd42222,"Daten, Informationen und digitale Inhalte verwalten",released,skill/competence,cross-sector,,"Organisation, Speicherung und Abruf von Daten, Informationen und Inhalten in einem digitalen Umfeld. Ihre Organisation und Verarbeitung in einem strukturierten Umfeld.",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77 | http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a,Informationsmanagement | Verarbeitung digitaler Daten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,digitale Kommunikation und Zusammenarbeit,released,,,digitale Kommunikation,"Kommunizieren in einem digitalen Umfeld, Teilen von Ressourcen durch Online-Tools, Vernetzung und Zusammenarbeit mit anderen mithilfe digitaler Werkzeuge, Interaktion mit und Beteiligung an Gemeinschaften und Netzen, kulturübergreifendes Bewusstsein.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,Nutzung digitaler Tools für Zusammenarbeit und Produktivität
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5af49836-2269-46d9-87b9-0d3140c6c22e,digitale Inhalte integrieren und umarbeiten,released,skill/competence,cross-sector,,"Änderung, Verfeinerung, Verbesserung und Integration von Informationen und Inhalten in einen bestehenden Wissensfundus, um neue, originelle und relevante Inhalte und neues, originelles und relevantes Wissen zu schaffen.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,Nutzung digitaler Tools für Zusammenarbeit und Produktivität | Erstellung digitaler Inhalte
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5fd5c985-eaaa-47aa-8314-62359c54505a,digitale Inhalte entwickeln,released,skill/competence,cross-sector,,Erstellen und Bearbeiten digitaler Inhalte in unterschiedlichen Formaten; sich durch digitale Mittel ausdrücken.,http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,Nutzung digitaler Tools für Zusammenarbeit und Produktivität | Erstellung digitaler Inhalte
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a,Verarbeitung digitaler Daten,released,,,digitale Datenverarbeitung,"Ermitteln, Lokalisieren, Abrufen, Speichern, Organisieren und Analysieren digitaler Daten unter Berücksichtigung ihrer Relevanz und ihres Zwecks.",http://data.europa.eu/esco/skill/4d6a48ae-352e-4823-bc3a-3f3e9e2cae86,Zugreifen auf und Analyse von digitalen Daten
