conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,wissenschaftliche oder akademische Arbeiten und technische Unterlagen verfassen,released,skill/competence,cross-sector,,"Verfassen und Bearbeiten von wissenschaftlichen, akademischen oder technischen Texten zu verschiedenen Themen.
    ",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,Verfassen technischer Dokumentation oder akademischer Schriften
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,Forschungsdaten verwalten,released,skill/competence,cross-sector,,"Erstellen und Analysieren wissenschaftlicher Daten, die mithilfe qualitativer und quantitativer Forschungsmethoden erhoben wurden. Speichern und Pflegen der Daten in Forschungsdatenbanken. Unterstützung der Wiederverwendung wissenschaftlicher Daten und Kenntnis der Grundsätze der offenen Datenverwaltung.
    ",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,Informationsmanagement
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20a8fe89-d4eb-4698-8521-8881c13377e0,im Bereich Forschung und im beruflichen Umfeld professionellen Umgang pflegen,released,skill/competence,cross-sector,,"Beweisen von Rücksicht auf andere und von Kollegialität. Zuhören, Erteilen und Erhalten von Feedback und einfühlsames Eingehen auf andere, wobei auch die Aufsicht über das Personal und die Führung in einem beruflichen Umfeld übernommen wird.
    ",http://data.europa.eu/esco/skill/91b0b918-942e-4661-b88c-70b9396529e5,Zusammenarbeit mit anderen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1,Ergebnisse in der wissenschaftlichen Gemeinschaft verbreiten,released,skill/competence,cross-sector,,"Veröffentlichung wissenschaftlicher Ergebnisse mit allen geeigneten Mitteln, einschließlich Konferenzen, Workshops, Kolloquien und wissenschaftlichen Veröffentlichungen.
	",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,Verfassen technischer Dokumentation oder akademischer Schriften
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34764d-637c-48f5-aa70-31e15c965db6,Open-Source-Software entwickeln,released,skill/competence,sector-specific,,"Betrieb und Produktion von Open-Source-Software. Vertraut sein mit den wichtigsten Open-Source-Modellen, Lizenzierungssystemen und den bei der Produktion von Open-Source-Software üblichen Codierungsverfahren.
    ",http://data.europa.eu/esco/skill/a8c3186b-c791-4d57-8f4f-4d12c7a5c6a7,Programmierung von Computersystemen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2de4572a-4724-4f76-afc2-72a568a264ac,Fremdsprachen sprechen,released,skill/competence,cross-sector,,"Beherrschen von Fremdsprachen, um in einer oder mehreren Fremdsprachen kommunizieren zu können.",http://data.europa.eu/esco/skill/03961960-e729-4768-ab0a-49886132f17a,Benutzung von Fremdsprachen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/39f67488-cfd3-4370-8d7e-da98163102d9,Forschungsaktivitäten bewerten,released,skill/competence,cross-sector,,"Bewertung von Fortschritten, Auswirkungen und Ergebnissen der Forschungsaktivitäten von Fachkollegen und -kolleginnen.
	",http://data.europa.eu/esco/skill/23cfb269-eec1-4011-8e57-c86203ce9fd7,Rückmeldung geben
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,fachliche Kompetenz unter Beweis stellen,released,skill/competence,cross-sector,,"Nachweis fundierter Kenntnisse und eines komplexen Verständnisses eines bestimmten Forschungsbereichs, einschließlich verantwortungsvoller Forschung, Forschungsethik und Grundsätze der wissenschaftlichen Integrität, Datenschutz und Anforderungen der DSGVO im Zusammenhang mit Forschungstätigkeiten innerhalb eines bestimmten Fachgebiets.
    ",http://data.europa.eu/esco/skill/8fde007e-ea4c-48c2-84c5-752834acd31d,"Durchführung von Studien, Ermittlungen und Untersuchungen"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,analytisch denken,released,skill/competence,transversal,sachlich denken | etwas durchdenken | logisch denken,"Anstellen von Überlegungen mit Logik und Verstand, um die Stärken und Schwächen alternativer Lösungen zu ermitteln, Schlussfolgerungen zu ziehen oder Lösungsansätze zu erarbeiten.",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"Verarbeiten von Informationen, Ideen und Konzepten"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4cd85845-f31c-4306-994d-e12d45114d83,in akademischen oder berufsbezogenen Kontexten unterrichten,released,skill/competence,cross-sector,,"Unterrichten von Lernenden in Theorie und Praxis akademischer oder berufsbezogener Fächer und dabei Vermittlung der Inhalte eigener und fremder Forschungstätigkeiten.
    ",http://data.europa.eu/esco/skill/335be43a-3267-400e-b5cb-c9e234dc7544,Unterricht in akademischen oder berufsbildenden Fächern
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4d39b27a-b34f-4c89-8d46-df844d42f728,Wissen mit politischer Wirkung verwalten,released,skill/competence,cross-sector,,"Steigerung der Wirkung und der Nutzung von Forschungsergebnissen in der Politik, indem sichergestellt wird, dass die nützlichsten Fakten rechtzeitig zur Verfügung gestellt und verstanden werden, damit sie von den politischen Entscheidungsträgern während des gesamten Politikzyklus berücksichtigt werden können.
    ",http://data.europa.eu/esco/skill/f914df1a-c9fd-47ab-b1ec-bc7c6f572640 | http://data.europa.eu/esco/skill/cdb2aecd-9dca-48fd-8d56-f0aace3ab5a9,Einfluss auf politische Entscheidungsträger hinsichtlich Fragen der sozialen Dienste nehmen | Präsentation allgemeiner Informationen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4f5c1208-62fd-4e5a-a51e-306c06947e11,"Verwaltung auffindbarer, zugänglicher, interoperabler und wiederverwendbarer Daten",released,skill/competence,cross-sector,Unterstützung der Datenwiederverwendung in der Forschung | Sicherstellung einer korrekten Datenspeicherung | Datenverfügbarkeit sicherstellen | die Wiederverwendbarkeit von Daten gewährleisten,"Erstellung, Beschreibung, Speicherung, Bewahrung und (Wieder-)Verwendung wissenschaftlicher Daten auf der Grundlage der FAIR-Grundsätze (Findable, Accessible, Interoperable and Reusable), wobei die Daten so offen wie möglich und so geschlossen wie nötig sein sollten.
	",http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253 | http://data.europa.eu/esco/skill/9ff9db9d-d14b-426e-83f3-e7449af6c79f,Durchführung von wissenschaftlicher Forschung oder Marktforschung | Daten verwalten
