conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,released,knowledge,sector-specific,,"Techniken und Grundsätze der Softwareentwicklung, wie Analyse, Algorithmen, Programmierung, Tests und Zusammenstellen von Programmparadigmen in Haskell.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,Computerprogrammierung | Entwicklung und Analyse von Software und Anwendungen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,inkrementelle Entwicklung,released,knowledge,sector-specific,,Das Modell der inkrementellen Entwicklung ist eine Methode zur Entwicklung von Softwaresystemen und Anwendungen.,http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9,Entwicklung und Analyse von Software und Anwendungen | IKT-Projektmanagement-Methoden
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,released,knowledge,sector-specific,,"Das Computerprogramm KDevelop ist eine Suite von Softwareentwicklungswerkzeugen für Schreibprogramme, z. B. Compiler, Debugger, Code-Editor und Code-Highlights, die in einer einheitlichen Benutzeroberfläche verpackt sind. Es wird von der Softwaregemeinschaft KDE entwickelt.",http://data.europa.eu/esco/skill/925463a7-d51f-4d5b-9f79-4d28cf30acde | http://data.europa.eu/esco/isced-f/0612,Software für integrierte Entwicklungsumgebungen | Design und Verwaltung von Datenbanken und Netzwerken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (Lernmanagementsysteme),released,knowledge,sector-specific,,"Das Lernsystem Absorb ist eine E-Learning-Plattform zur Schaffung, Verwaltung und Bereitstellung von E-Learning-Kursen oder Schulungsprogrammen für Schüler der Sekundarstufe.",http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834 | http://data.europa.eu/esco/isced-f/0612,Lernmanagementsysteme | Design und Verwaltung von Datenbanken und Netzwerken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01d269d9-b058-4d6c-82a0-3779af9a124b,Innovative Blockchain-Architekturen entwickeln,released,skill/competence,cross-sector,,"Entwickeln neuer Blockchain-Architekturen, die auf die Eigenschaften und Prioritäten bestimmter Anwendungen abgestimmt sind. Erörtern der Vor- und Nachteile solcher neuen Architekturen im Vergleich zu den bestehenden.
	",http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce,Entwickeln von IKT-Systemen oder -Anwendungen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446,Netztechnik,released,knowledge,sector-specific,,"Teilbereich der Computertechnologie, der sich mit der Verwaltung der Konnektivität der Netze durch Daten, Sprache, Anrufe und drahtlose Netzdienste befasst.
	",http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5 | http://data.europa.eu/esco/isced-f/0714,Computertechnologie | Elektronik und Automation
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,Datenbestand migrieren,released,skill/competence,sector-specific,,"Anwenden von Migrations- und Umwandlungsmethoden auf vorhandene Daten, um Daten zwischen Formaten, Speichern oder Computersystemen zu übertragen oder umzuwandeln.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"Verwaltung, Sammlung und Speicherung digitaler Daten"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,physische Datenbankstruktur definieren,released,skill/competence,sector-specific,physische Speicherstruktur von Datenbanken definieren | physische Struktur von Datenbanken definieren | physische Datenbankstruktur festlegen | physische Konfiguration von Datenbankdateien festlegen | physische Datenbankstrukturen definieren,"Angeben der physischen Konfiguration der Datenbankdateien auf einem bestimmten Medium. Hierbei handelt es sich um detaillierte Spezifikationen für die Indizierungsoptionen, Datentypen und Datenelemente in einem Datenkatalog.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"Verwaltung, Sammlung und Speicherung digitaler Daten"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,released,knowledge,sector-specific,,"Die Plattform Maltego ist eine forensische Anwendung, bei der Data Mining verwendet wird, um einen Überblick über die Organisationsumgebung zu erhalten, Sicherheitslücken des Systems auf potenziell unbefugten Zugriff zu testen und die Komplexität von Infrastrukturausfällen zu belegen.",http://data.europa.eu/esco/skill/de586dcf-d7e5-4340-bf5b-d59026f1b436 | http://data.europa.eu/esco/isced-f/0613,Werkzeug für Penetrationstests | Entwicklung und Analyse von Software und Anwendungen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,Funkgeräte bedienen,released,skill/competence,cross-sector,,"Einrichten und Betreiben von Funkgeräten und -zubehör wie Rundfunkkonsolen, Verstärker und Mikrofone. Verstehen der Grundlagen der Funkersprache und bei Bedarf Erteilen von Anweisungen zur korrekten Bedienung von Funkgeräten.",http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6 | http://data.europa.eu/esco/skill/9bafaea2-76cd-4532-ab77-8b3d21fa6235,Bedienen von Kommunikationsausrüstungen | Fernkommunikation koordinieren
