conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,Personal mit Blick auf die Verringerung von Lebensmittelabfällen schulen,released,skill/competence,sector-specific,Information des Personals über Praktiken zur Reduzierung von Lebensmittelabfällen | Schulung des Personals zur Reduzierung von Lebensmittelverschwendung | den Schülern/Schülerinnen Praktiken zur Verringerung der Lebensmittelverschwendung vermitteln | die Arbeiter/innen über Methoden des Lebensmittelrecyclings aufklären,"Einführung neuer Schulungs- und Personalentwicklungsmaßnahmen, um das Wissen der Mitarbeiter/innen über die Vermeidung von Lebensmittelabfällen und die Wiederverwertung von Lebensmitteln zu fördern. Sicherstellen, dass das Personal die Methoden und Hilfsmittel für die Wiederverwertung von Lebensmitteln kennt, z. B. die Abfalltrennung.
	",http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488,Schulung zu betrieblichen Verfahren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,Energiesparkonzepte entwickeln,released,skill/competence,cross-sector,,"Nutzen der aktuellen Forschungsergebnisse und Zusammenarbeit mit Experten zur Optimierung oder Entwicklung von Konzepten, Ausrüstung und Herstellungsverfahren, die weniger Energie benötigen, z. B. neue Dämmverfahren und -materialien.",http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c | http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458,Entwicklung betrieblicher Strategien und Verfahren | Innovativ denken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,Pflanzenforschung durchführen,released,skill/competence,sector-specific,Forschung zur Flora durchführen,"Sammeln und Auswerten von Daten über Pflanzen, um ihre grundlegenden Aspekte wie Ursprung, Anatomie und Funktion zu erforschen.",http://data.europa.eu/esco/skill/ba1f6201-b206-4459-b178-706db34a851d,Analyse wissenschaftlicher und medizinischer Daten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,Wärmepumpe installieren,released,skill/competence,cross-sector,,"Installieren von Wärmepumpen, die die physikalischen Eigenschaften von Kältemitteln nutzen, um Wärme aus der Umgebungsluft zu extrahieren und sie in einer wärmeren Umgebung wieder freizusetzen, im Gegensatz zu einer spontanen Wärmezufuhr. Schaffen der erforderlichen Öffnungen und Installieren der Innen- und Außenteile der Wärmepumpe. Anschließen der Stromleitungen und Kabelkanäle sowie Konfigurieren der Wärmepumpe.",http://data.europa.eu/esco/skill/b85caa4a-f04b-4331-80df-11404fd71225,"Installation von Heizungs-, Lüftungs- und Klimaanlagen"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,Biomasseanlagen planen,released,skill/competence,sector-specific,Biomasse-System entwerfen | Biomasseanlage planen,"Planung des Biomasse-Energiesystems. Bestimmung der Grenzen der Konstruktion, z. B. des benötigten Platzes und des Gewichts. Berechnen von Indikatoren wie Kapazität, Durchfluss und Temperaturen. Erstellen detaillierter Beschreibungen und Zeichnungen des Entwurfs.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,Entwurf elektrischer oder elektronischer Systeme oder Ausrüstungen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,Offshorebauwerke untersuchen,released,skill/competence,cross-sector,Offshorebauwerke inspizieren,"Regelmäßige Inspektion während und nach dem Bau von Offshore-Anlagen wie Ölplattformen, um die Risikominimierung und die Einhaltung der Vorschriften sicherzustellen.",http://data.europa.eu/esco/skill/efbb3d3b-a41c-4e0a-90a8-8e611eb1db9f,"Beratung zu Rechts-, Regulierungs- oder Verfahrensfragen"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,Maßnahmen zur Förderung der biologischen Vielfalt und des Tierschutzes ergreifen,released,skill/competence,transversal,Nachhaltigkeitsaspekte bei Konsumentscheidungen berücksichtigen | Umweltentscheidungen im Rahmen der eigenen Essgewohnheiten umsetzen | nachhaltige Essgewohnheit annehmen | Förderung des Konsums von biologischen und biologischen Lebensmitteln | beim Kauf von Lebensmitteln auf den Tierschutz achten | Biodiversität und Tierschutz konkret unterstützen,"Verhaltensweisen an den Tag legen, die zur Erhaltung stabiler Ökosysteme und zur Bekämpfung des Massensterbens beitragen, z. B. durch bewusste Ernährungsentscheidungen, die die ökologische Lebensmittelerzeugung und den Tierschutz unterstützen.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,Anwenden umweltbezogener Fähigkeiten und Kompetenzen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,Durchführbarkeitsstudie für Gebäudemanagementsysteme ausführen,released,skill/competence,sector-specific,Durchführung einer GMS-Durchführbarkeitsstudie,"Bewertung und Einschätzung des Potenzials eines Gebäudemanagementsystems durchführen. Durchführung einer standardisierten Studie zur Ermittlung des Energieeinsparungsbeitrags, der Kosten und der Einschränkungen sowie Durchführung von Untersuchungen zur Unterstützung des Entscheidungsfindungsprozesses.
	",http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06 | http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702,Analyse von Geschäftstätigkeiten | Machbarkeitsstudie durchführen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,kontaminiertes Material entfernen,released,skill/competence,sector-specific,verseuchtes Material entfernen,"Entfernen von durch Gefahrstoffe kontaminierten Materialien und Geräten, um die Umgebung vor einer weiteren Kontamination zu schützen und die kontaminierten Materialien zu reinigen oder zu entsorgen.",http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e | http://data.europa.eu/esco/skill/3727f0d3-da1b-4ce3-a9cb-efe6130fe41f,Umgang mit und Entsorgung von Gefahrstoffen | Kontamination beurteilen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02e235f4-a30a-412a-a06e-1c471ad28678,Verfahren zur Kontrolle von gefährlichen Stoffen im Rahmen der Gesundheitsvorschriften befolgen,released,skill/competence,sector-specific,,"Einhalten der Verfahren zur Kontrolle von gefährlichen Stoffen im Rahmen der Gesundheitsvorschriften für Tätigkeiten, bei denen gefährliche Stoffe wie Bakterien, Allergene, Altöl, Lacke oder Bremsflüssigkeiten zum Einsatz kommen, die zu einer Erkrankung oder Verletzung führen können.
	",http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e | http://data.europa.eu/esco/skill/d2d9051a-10e1-41c5-9cfb-bbdc58016176,Umgang mit und Entsorgung von Gefahrstoffen | Sicherheitsvorkehrungen am Arbeitsplatz befolgen
