conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,Biomedizinischer Ingenieur/Biomedizinische Ingenieurin,released,Ingenieurin Biomedizinische Technik | Biomedizinische Ingenieurin | Ingenieur Biomedizinische Technik | Biomedizinischer Ingenieur,"Biomedizinische Ingenieur/´biomedizinische Ingenieurinnen führen Kenntnisse der Grundsätze der Ingenieurwissenschaften und biologische Erkenntnisse zusammen, um medizinische Behandlungen und Arzneimittel zu entwickeln und andere Gesundheitszwecke zu unterstützen. Sie können Lösungen entwickeln, die von der Verbesserung der Zusammensetzung herkömmlicher Arzneimittel bis hin zu Implantaten und Gewebebehandlung reichen.",http://data.europa.eu/esco/occupation/f9433fdb-dde1-46cf-9e91-b49d243946a7,Bioingenieur/Bioingenieurin
Occupation,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,Kriminologe/Kriminologin,released,Kriminologe | Kriminologin,"Kriminologen untersuchen, welche Umstände, z. B. gesellschaftliche und psychologische Aspekte, Menschen zu Straftaten veranlassen. Sie beobachten und analysieren verschiedene Faktoren, von Verhaltensweisen bis hin zum sozialen Hintergrund und Umfeld verdächtiger Personen, um Organisationen zur Kriminalitätsprävention zu beraten.",http://data.europa.eu/esco/isco/C2632,"Soziologen, Anthropologen und verwandte Wissenschaftler"
Occupation,http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659,Hochschullehrkraft für Wirtschaftswissenschaften,released,Wissenschaftlicher Mitarbeiter für Volkswirtschaftslehre | Universitätslehrerin für Wirtschaftswissenschaften | UniversitätsassistentIn für Betriebswirtschaftslehre | Dozent/in für Wirtschaftswissenschaften | Lehrbeauftragter für Volkswirtschaftslehre | Wissenschaftliche Mitarbeiterin für Volkswirtschaftslehre | Universitätslehrer für Wirtschaftswissenschaften | ProfessorIn für Wirtschaftssoziologie | Lehrbeauftragte für Volkswirtschaftslehre | Hochschullehrerin für Finanzwissenschaft | Hochschullehrer für Finanzwissenschaft,"Hochschullehrkräfte für Wirtschaftswissenschaften sind Professoren/Professorinnen, Assistenzprofessoren/-professorinnen, Lehrkräfte, Dozenten/Dozentinnen, Hilfskräfte und Mentoren, die Studierende in ihrem eigenen Fachgebiet, den Wirtschaftswissenschaften, unterrichten. Sie entwickeln Lehrpläne, bereiten Lehrveranstaltungen (Vorlesungen, Praxiskurse, Seminare, Tutorien usw.) vor, überwachen die Lernergebnisse und begleiten den akademischen Werdegang der Studierenden. Sie führen in ihrem jeweiligen wirtschaftswissenschaftlichem Fachgebiet Forschungsarbeiten durch und stellen die Ergebnisse bei Konferenzen und in Publikationen vor. Sie sind zum Teil an der Hochschulverwaltung beteiligt.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a,Hochschullehrkraft für Medizin,released,DozentIn für Medizin | Universitätsprofessor für Medizin | Wissenschaftliche Mitarbeiterin für Medizin | Lehrbeauftragte für Medizin | Wissenschaftlicher Mitarbeiter für Medizin | Hochschulassistent/in für Medizin | Universitätsprofessorin für Medizin | Lehrbeauftragter für Medizin,"Hochschullehrkräfte für Medizin sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen und oft Ärzte/Ärztinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, der Medizin, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten, Labortätigkeiten anzuleiten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen medizinischen Fachgebiet Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/0c7c9606-fde3-4658-8136-8fe0c9b8bd09,Ingenieur Medizintechnik/Ingenieurin Medizintechnik,released,Ingenieurin Medizintechnik | Ingenieur Medizintechnik,"Ingenieure Medizintechnik/Ingenieurinnen Medizintechnik gestalten und entwickeln medizinisch-technische Systeme, Anlagen und Geräte wie Herzschrittmacher und MRT- und Röntgengeräte. Sie überwachen den gesamten Herstellungsprozess von der Konzeption bis zur Produkteinführung. U. a. konzipieren sie Produktverbesserungen, entwickeln Methoden und Techniken zur Bewertung der Eignung, koordinieren die anfängliche Produktion, entwickeln Testverfahren und gestalten Fertigungsskizzen.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,Ingenieur Elektronik/Ingenieurin Elektronik
Occupation,http://data.europa.eu/esco/occupation/0cd729a6-ed11-4338-ac4b-d4b924390128,Historiker/Historikerin,released,Sozialhistorikerin | Althistorikerin | Historiker | Kunsthistorikerin | Althistoriker | Ägyptologe | Sozial- und Wirtschaftshistorikerin | Historikerin | Sozialhistoriker | Wirtschaftshistoriker | Wirtschaftshistorikerin | Sozial- und Wirtschaftshistoriker | Kunsthistoriker | Ägyptologin,"Historiker erforschen, analysieren und interpretieren die Vergangenheit menschlicher Gesellschaften. Sie analysieren Dokumente, Quellen und Spuren aus der Vergangenheit, um die damaligen Gesellschaften zu verstehen.",http://data.europa.eu/esco/isco/C2633,"Philosophen, Historiker und Politologen"
Occupation,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,Chemiker/Chemikerin,released,Natur- und Wirkstoffchemiker | Arzneimittelchemikerin | Klinische Chemikerin | Chemiker | Anorganiker | Wirtschaftschemiker | Biochemiker | Umweltanalytiker | Lebensmittelchemikerin | Umweltanalytikerin | Natur- und Wirkstoffchemikerin | Chemieanalytiker | Chemieanalytikerin | Organikerin | Arzneimittelchemiker | Lebensmittelchemiker | Anorganikerin | Wirtschaftschemikerin | Polymerchemikerin | Klinischer Chemiker | Biochemikerin | Polymerchemiker | Chemikerin | Chemische Analytikerin | Organiker | Chemischer Analytiker,"Chemiker/Chemikerinnen erforschen die chemische Struktur von Stoffen, indem sie sie testen und analysieren. Sie lassen die Forschungsergebnisse in Herstellungsverfahren einfließen, die ihrerseits zur Entwicklung von Produktverbesserungen eingesetzt werden. Chemiker/Chemikerinnen prüfen zudem die Qualität der hergestellten Produkte und ihre Umweltauswirkungen.",http://data.europa.eu/esco/isco/C2113,Chemiker
Occupation,http://data.europa.eu/esco/occupation/10291962-c0c7-4e5b-a7ed-0762b4d9b010,Pharmakologe/Pharmakologin,released,Pharmakologin | Pharmakologe,"Pharmakologen/Pharmakologinnen untersuchen, wie Arzneimittel und Medikamente mit Organismen, lebenden Systemen und Teilen davon (d. h. Zellen, Geweben und Organen) interagieren. Ihre Forschungsarbeiten dienen der Ermittlung von Stoffen, die vom Menschen aufgenommen werden können und bei denen geeignete biochemische Funktionen für die Behandlung von Krankheiten festgestellt werden.",http://data.europa.eu/esco/isco/C2131,"Biologen, Botaniker, Zoologen und verwandte Berufe"
Occupation,http://data.europa.eu/esco/occupation/116b4c55-5bd0-41e9-9227-98d7ecffeaf6,Hochschullehrkraft für Soziologie,released,Universitätsassistent für Soziologie | Universitätsdozent/in für Sozialwissenschaften | HochschullehrerIn für Sozialwissenschaften | Universitätsassistentin für Soziologie,"Hochschullehrkräfte für Soziologie sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, der Soziologie, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen soziologischen Fachgebiet Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/11a6d0f6-e692-4774-aa5f-193b67d31022,Kinesiologe/Kinesiologin,released,Kinesiologin | Kinesiologe,"Kinesiologen/Kinesiologinnen beobachten und erforschen Körper-, Muskel- und Körperteilbewegungen. Sie analysieren und nutzen wissenschaftliche Daten und Methoden zur Verbesserung der Körperbewegung, im Allgemeinen beim Menschen, wobei sie sich auf Kenntnisse in Physiologie, Kinetik, Neurologie und Biologie stützen. Sie erkennen die Auswirkungen, die einige Faktoren, wie etwa der Körperzustand, auf die Bewegung haben, und entwickeln Lösungen zur Verbesserung der Mechanik und Mobilität insgesamt.",http://data.europa.eu/esco/isco/C2269,"Akademische und verwandte Gesundheitsberufe, anderweitig nicht genannt"
