conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description,code
SkillGroup,http://data.europa.eu/esco/isced-f/00,Allgemeine Bildungsprogramme und Qualifikationen,,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,00
SkillGroup,http://data.europa.eu/esco/isced-f/000,Allgemeine Bildungsprogramme und Qualifikationen – nicht näher definiert,,,released,2023-07-13T15:16:44.968Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,000
SkillGroup,http://data.europa.eu/esco/isced-f/0000,Allgemeine Bildungsprogramme und Qualifikationen – nicht näher definiert,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0000
SkillGroup,http://data.europa.eu/esco/isced-f/001,Grundlegende Bildungsprogramme und Qualifikationen,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,001
SkillGroup,http://data.europa.eu/esco/isced-f/0011,Grundlegende Bildungsprogramme und Qualifikationen,,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0011
SkillGroup,http://data.europa.eu/esco/isced-f/002,"Lesen, Schreiben und Rechnen",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,002
SkillGroup,http://data.europa.eu/esco/isced-f/0021,"Lesen, Schreiben und Rechnen",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0021
SkillGroup,http://data.europa.eu/esco/isced-f/003,Fähigkeiten und Persönlichkeitsentwicklung,,,released,2024-05-02T16:20:33.359Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,003
SkillGroup,http://data.europa.eu/esco/isced-f/0031,Fähigkeiten und Persönlichkeitsentwicklung,,,released,2024-05-02T16:20:25.557Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0031
SkillGroup,http://data.europa.eu/esco/isced-f/009,Allgemeine Bildungsprogramme und Qualifikationen – nirgendwo sonst klassifiziert,,,released,2024-05-02T16:20:14.471Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,009
SkillGroup,http://data.europa.eu/esco/isced-f/0099,Allgemeine Bildungsprogramme und Qualifikationen – nirgendwo sonst klassifiziert,,,released,2024-05-02T16:20:08.635Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,0099
SkillGroup,http://data.europa.eu/esco/isced-f/01,Erziehungswissenschaften,,,released,2022-01-13T14:57:09.082Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,01
SkillGroup,http://data.europa.eu/esco/isced-f/011,Erziehungswissenschaften,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,011
SkillGroup,http://data.europa.eu/esco/isced-f/0110,Erziehungswissenschaften – nicht näher definiert,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0110
SkillGroup,http://data.europa.eu/esco/isced-f/0111,Lehrkräfteausbildung,,,released,2023-07-04T13:29:46.06Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0111
SkillGroup,http://data.europa.eu/esco/isced-f/0112,Ausbildung von Vorschullehrkräften,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0112
SkillGroup,http://data.europa.eu/esco/isced-f/0113,Lehrkräfteausbildung ohne Fachspezialisierung,,,released,2023-07-04T10:20:46.297Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0113
SkillGroup,http://data.europa.eu/esco/isced-f/0114,Lehrkräfteausbildung mit Fachspezialisierung,,,released,2023-10-30T10:21:08.01Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0114
SkillGroup,http://data.europa.eu/esco/isced-f/0119,Erziehungswissenschaften – nirgendwo sonst klassifiziert,,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,0119
