conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab,skill/competence,sector-specific,Musikpersonal verwalten,,,released,2023-11-30T15:53:37.136Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Zuweisen und Verwalten der Aufgaben des Personals in Bereichen wie Komposition, Arrangement, Kopieren von Musik und Gesangsunterricht."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,skill/competence,occupation-specific,Strafvollzugsverfahren beaufsichtigen,,,released,2023-11-30T15:04:00.689Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Überwachen des Betriebs einer Justizvollzugsanstalt oder anderer Strafvollzugsverfahren, um sicherzustellen, dass die Rechtsvorschriften angewendet und vom Personal eingehalten werden, sowie Verbessern der Effizienz und Sicherheit der Haftanstalt."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,skill/competence,sector-specific,nicht unterdrückende Praktiken anwenden,,,released,2023-11-28T10:45:53.54Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Ermitteln von Repressionen in Gesellschaften, Volkswirtschaften, Kulturen und Gruppen, professionelles Handeln auf nichtrepressive Weise, Befähigen der Nutzer von Dienstleistungen, tätig zu werden, um ihr Leben zu verbessern, und der Bürger, ihr Umfeld entsprechend ihren eigenen Interessen zu verändern."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,skill/competence,sector-specific,Einhaltung von Vorschriften von Eisenbahnfahrzeugen überprüfen,,,released,2023-11-30T16:29:18.273Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Kontrollieren von Fahrzeugen, Komponenten und Systemen, um die Einhaltung von Normen und Spezifikationen zu gewährleisten."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,skill/competence,cross-sector,verfügbare Dienste ermitteln,,,released,2023-11-28T10:38:49.206Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Ermitteln der verschiedenen verfügbaren Dienste, die einem Straftäter während seiner Bewährungszeit offenstehen, um den Rehabilitierungs- und Wiedereingliederungsprozess zu unterstützen, sowie Beraten der Täter, wie sie die ihnen zur Verfügung stehenden Dienstleistungen ermitteln können."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,skill/competence,cross-sector,toxikologische Studien durchführen,,,released,2023-11-30T15:10:42.752Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Durchführen von Tests zum Nachweis von Giften oder Drogenmissbrauch und Unterstützen der Therapieüberwachung durch den Einsatz von chemischen Reagenzien, Enzymen, Radioisotopen und Antikörpern, um ungewöhnliche chemische Konzentrationen im Körper zu erkennen."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316,skill/competence,occupation-specific,Einheitlichkeit von Kokillen gewährleisten,,,released,2023-11-30T16:49:26.078Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Überwachen der Einheitlichkeit von Kokillen; Verwenden von Gießmaschinen und Werkzeugen wie Schweißgeräten.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,knowledge,sector-specific,Haskell,,,released,2023-11-30T16:13:21.77Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036,
http://data.europa.eu/esco/concept-scheme/skills","Techniken und Grundsätze der Softwareentwicklung, wie Analyse, Algorithmen, Programmierung, Tests und Zusammenstellen von Programmparadigmen in Haskell."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,skill/competence,transversal,Initiative zeigen,,,released,2021-09-02T16:37:00.315Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/skill-transversal-groups,
http://data.europa.eu/esco/concept-scheme/member-skills","Proaktiv sein und den ersten Schritt unternehmen, ohne darauf zu warten, was Andere sagen oder tun.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,skill/competence,sector-specific,Personal mit Blick auf die Verringerung von Lebensmittelabfällen schulen,"Information des Personals über Praktiken zur Reduzierung von Lebensmittelabfällen
Schulung des Personals zur Reduzierung von Lebensmittelverschwendung
den Schülern/Schülerinnen Praktiken zur Verringerung der Lebensmittelverschwendung vermitteln
die Arbeiter/innen über Methoden des Lebensmittelrecyclings aufklären",,released,2021-01-20T14:31:01.524Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green","Einführung neuer Schulungs- und Personalentwicklungsmaßnahmen, um das Wissen der Mitarbeiter/innen über die Vermeidung von Lebensmittelabfällen und die Wiederverwertung von Lebensmitteln zu fördern. Sicherstellen, dass das Personal die Methoden und Hilfsmittel für die Wiederverwertung von Lebensmitteln kennt, z. B. die Abfalltrennung.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,skill/competence,cross-sector,Grundsätze der Diplomatie anwenden,,,released,2023-11-28T10:36:15.443Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Anwenden der mit der Ausarbeitung internationaler Verträge verbundenen Prozesse durch Verhandlungen zwischen Vertretern verschiedener Länder, Schutz der Interessen der Regierung und Unterstützung von Kompromissen."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,skill/competence,sector-specific,polizeiliche Ermittlungen leiten,,,released,2023-11-30T15:58:51.376Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Leiten von Ermittlungen der Polizei, einschließlich Festlegen einer Ermittlungsstrategie, Kontaktaufnahme mit Sachverständigen, Anwenden unterschiedlicher Methoden und Standpunkte sowie Führen und Anleiten der beteiligten Ermittler."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990,skill/competence,sector-specific,mit den Abfällen der Fischernte umgehen,,,released,2023-11-30T16:14:30.732Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Entsorgen von Abfall, Blut und minderwertigem Fisch gemäß den am Standort geltenden Verfahren für die Abfallbewirtschaftung."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,skill/competence,cross-sector,Energiesparkonzepte entwickeln,,,released,2023-11-30T16:47:09.526Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/green","Nutzen der aktuellen Forschungsergebnisse und Zusammenarbeit mit Experten zur Optimierung oder Entwicklung von Konzepten, Ausrüstung und Herstellungsverfahren, die weniger Energie benötigen, z. B. neue Dämmverfahren und -materialien."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3,skill/competence,sector-specific,als Streetworker tätig sein,,,released,2023-11-30T15:11:30.413Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Sozialarbeit durch Kontaktaufnahme mit Personen in der Nachbarschaft oder auf der Straße und Anbieten von direkten Informationen oder Beratungsdiensten, die in der Regel auf Jugendliche oder Obdachlose ausgerichtet sind."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330,skill/competence,sector-specific,mit Solisten/Solistinnen arbeiten,,,released,2023-11-30T14:52:04.558Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Kommunizieren mit Solokünstlern und Konzertmeistern, um die Aufführungen zu besprechen und vorzubereiten."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,knowledge,cross-sector,Sport- und Bewegungsmedizin,,,released,2023-11-28T10:35:15.768Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Vorbeugung und Behandlung von Verletzungen oder Erkrankungen, die auf eine körperliche Betätigung oder auf Sport zurückzuführen sind."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,skill/competence,sector-specific,Pflanzenforschung durchführen,Forschung zur Flora durchführen,,released,2023-11-30T16:27:34.766Z,,,"http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Sammeln und Auswerten von Daten über Pflanzen, um ihre grundlegenden Aspekte wie Ursprung, Anatomie und Funktion zu erforschen."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,skill/competence,cross-sector,Wärmepumpe installieren,,,released,2023-11-30T16:02:47.092Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green","Installieren von Wärmepumpen, die die physikalischen Eigenschaften von Kältemitteln nutzen, um Wärme aus der Umgebungsluft zu extrahieren und sie in einer wärmeren Umgebung wieder freizusetzen, im Gegensatz zu einer spontanen Wärmezufuhr. Schaffen der erforderlichen Öffnungen und Installieren der Innen- und Außenteile der Wärmepumpe. Anschließen der Stromleitungen und Kabelkanäle sowie Konfigurieren der Wärmepumpe."
